source,receiver,start,end,year,method,id
MTFO,HARK,152,182,2022,cohe,481
MTFO,HARK,182,213,2022,cohe,482
MTFO,HARK,213,244,2022,cohe,483
MTFO,HARK,244,274,2022,cohe,484
MTFO,HARK,274,305,2022,cohe,485
MTFO,HARK,305,335,2022,cohe,486
MTFO,HARK,335,365,2022,cohe,487
MTFO,WAIT,1,32,2022,cohe,488
MTFO,WAIT,32,60,2022,cohe,489
MTFO,WAIT,60,91,2022,cohe,490
MTFO,WAIT,91,121,2022,cohe,491
MTFO,WAIT,121,152,2022,cohe,492
MTFO,WAIT,152,182,2022,cohe,493
MTFO,WAIT,182,213,2022,cohe,494
MTFO,WAIT,213,244,2022,cohe,495
MTFO,WAIT,244,274,2022,cohe,496
MTFO,WAIT,274,305,2022,cohe,497
MTFO,WAIT,305,335,2022,cohe,498
MTFO,WAIT,335,365,2022,cohe,499
MTFO,HAUP,1,32,2022,cohe,500
MTFO,HAUP,32,60,2022,cohe,501
MTFO,HAUP,60,91,2022,cohe,502
MTFO,HAUP,91,121,2022,cohe,503
MTFO,HAUP,121,152,2022,cohe,504
MTFO,HAUP,152,182,2022,cohe,505
MTFO,HAUP,182,213,2022,cohe,506
MTFO,HAUP,213,244,2022,cohe,507
MTFO,HAUP,244,274,2022,cohe,508
MTFO,HAUP,274,305,2022,cohe,509
MTFO,HAUP,305,335,2022,cohe,510
MTFO,HAUP,335,365,2022,cohe,511
MTFO,DBOY,1,32,2022,cohe,512
MTFO,DBOY,32,60,2022,cohe,513
MTFO,DBOY,60,91,2022,cohe,514
MTFO,DBOY,91,121,2022,cohe,515
MTFO,DBOY,121,152,2022,cohe,516
MTFO,DBOY,152,182,2022,cohe,517
MTFO,DBOY,182,213,2022,cohe,518
MTFO,DBOY,213,244,2022,cohe,519
MTFO,DBOY,244,274,2022,cohe,520
MTFO,DBOY,274,305,2022,cohe,521
MTFO,DBOY,305,335,2022,cohe,522
MTFO,DBOY,335,365,2022,cohe,523
MTFO,LMAN,1,32,2022,cohe,524
MTFO,LMAN,32,60,2022,cohe,525
MTFO,LMAN,60,91,2022,cohe,526
MTFO,LMAN,91,121,2022,cohe,527
MTFO,LMAN,121,152,2022,cohe,528
MTFO,LMAN,152,182,2022,cohe,529
MTFO,LMAN,182,213,2022,cohe,530
MTFO,LMAN,213,244,2022,cohe,531
MTFO,LMAN,244,274,2022,cohe,532
MTFO,LMAN,274,305,2022,cohe,533
MTFO,LMAN,305,335,2022,cohe,534
MTFO,LMAN,335,365,2022,cohe,535
